UserID,Channel2,RecordDate2,Duration 2
859311,Boomerang,3/8/2016 19:53,2026-07-30T00:14:20.000Z
859311,Trace TV,3/10/2016 18:00,2026-07-30T00:24:57.000Z
859311,Channel O,3/10/2016 19:04,2026-07-30T00:23:36.000Z
808971,Boomerang,2/18/2016 18:28,2026-07-30T00:00:57.000Z
808971,Boomerang,2/7/2016 13:41,2026-07-30T00:01:06.000Z
808971,Boomerang,2/7/2016 20:15,2026-07-30T00:04:53.000Z
808971,Channel O,1/26/2016 14:16,2026-07-30T00:01:36.000Z
808971,Boomerang,3/30/2016 19:19,2026-07-30T00:00:00.000Z
808971,Boomerang,3/25/2016 14:23,2026-07-30T00:07:27.000Z
830980,Boomerang,3/17/2016 10:13,2026-07-30T00:03:10.000Z
792729,Trace TV,3/30/2016 17:50,2026-07-30T00:02:00.000Z
820387,SuperSport Blitz,1/27/2016 13:54,2026-07-30T00:12:08.000Z
820387,Cartoon Network,1/27/2016 9:52,2026-07-30T00:01:27.000Z
820387,Channel O,1/25/2016 10:07,2026-07-30T00:00:57.000Z
820387,SuperSport Blitz,1/26/2016 19:30,2026-07-30T00:07:30.000Z
892515,SuperSport Blitz,3/23/2016 7:31,2026-07-30T00:00:10.000Z
